english,spanish,example_en,example_es
least,menos,She had the least amount of homework today.,Ella tuvo la menor cantidad de tarea hoy.
take into account,tener en cuenta,You should take into account the weather before planning your trip.,Deberías tener en cuenta el clima antes de planear tu viaje.
either,cualquiera / tampoco,You can choose either tea or coffee. / I don’t like horror movies either.,Puedes elegir té o café (cualquiera de los dos). / A mí tampoco me gustan las películas de terror.
even,incluso / hasta / ni siquiera,Even my teacher was surprised by the result. / He didn’t even say goodbye.,Incluso mi profesor se sorprendió con el resultado. / Ni siquiera se despidió.
awkward,incómodo / torpe / poco natural,There was an awkward silence after he made the joke. / Her movements were awkward at first. / The sentence sounds a bit awkward in English.,Hubo un silencio incómodo después de que hiciera la broma. / Sus movimientos eran torpes al principio. / La frase suena un poco poco natural en inglés.
fewer,menos (contables),There are fewer cars on the road today.,Hay menos coches en la carretera hoy.
such as,como / tal como / por ejemplo,I like outdoor activities such as hiking and cycling.,Me gustan las actividades al aire libre como el senderismo y el ciclismo.
crowded,lleno de gente / abarrotado,The train was so crowded that I couldn’t find a seat.,El tren estaba tan lleno de gente que no pude encontrar un asiento.
earn,ganar / obtener,Teenagers can earn money by working part-time.,Los adolescentes pueden ganar dinero trabajando a tiempo parcial.
slightly,ligeramente / un poco,The exam was slightly more difficult than I expected.,El examen fue ligeramente más difícil de lo que esperaba.
might,podría / puede que / tal vez,It might rain later. / He might be at home.,Podría llover más tarde. / Puede que él esté en casa.
grades,notas / calificaciones,She always gets good grades in English.,Ella siempre saca buenas notas en inglés.
